AuditID,AuditDate,PlantLocation,Department,Auditor,AuditType,FindingType,Severity,Status,DaysToClose
AUD-005354,2023-10-01,Suzhou Plant,Quality,Michael Bell,Internal Audit,Calibration,Critical,Closed,42.0
AUD-005355,2024-08-27,Suzhou Plant,Supply Chain,Blake Vega,ISO 9001 Audit,Supplier Issue,Minor,In Progress,
AUD-005356,2025-07-16,Shanghai Plant,Maintenance,Ronnie Medina,Supplier Audit,Documentation,Minor,Open,
AUD-005357,2024-07-23,Juarez Plant,Maintenance,Rhonda Clark,Process Audit,Process Deviation,Minor,Closed,2.0
AUD-005358,2023-12-14,Suzhou Plant,Engineering,Jason Fletcher,Internal Audit,Equipment Issue,Major,Closed,26.0
AUD-005359,2024-12-25,Bangalore Plant,Warehouse,Jose Green,Safety Audit,Equipment Issue,Minor,In Progress,
AUD-005360,2024-07-13,Suzhou Plant,EHS,Anthony Washington,Process Audit,Process Deviation,Critical,Closed,67.0
AUD-005361,2025-10-28,Bangalore Plant,Supply Chain,Kristopher Curtis,ISO 9001 Audit,Process Deviation,Minor,Closed,4.0
AUD-005362,2025-08-18,Juarez Plant,Engineering,Chad Moreno,Supplier Audit,Equipment Issue,Minor,Closed,7.0
AUD-005363,2023-07-24,Frankfurt Plant,Manufacturing,Cassidy Carter,Safety Audit,Documentation,Minor,Closed,11.0
AUD-005364,2024-10-10,Houston Plant,Manufacturing,James Grimes,Safety Audit,Documentation,Major,In Progress,
AUD-005365,2024-04-29,Pune Plant,Warehouse,Natalie Hawkins,Process Audit,Supplier Issue,Critical,Closed,64.0
AUD-005366,2024-12-29,Suzhou Plant,HR,Jonathan Williams,Internal Audit,Supplier Issue,Major,Open,
AUD-005367,2025-05-08,Suzhou Plant,Engineering,Deborah Smith,Internal Audit,Process Deviation,Minor,Closed,8.0
AUD-005368,2024-10-30,Shanghai Plant,Quality,Emily Henderson,Safety Audit,Calibration,Major,Closed,18.0
AUD-005369,2023-09-23,Frankfurt Plant,HR,Peter Morgan,Supplier Audit,Documentation,Minor,Closed,3.0
AUD-005370,2025-12-14,Frankfurt Plant,Manufacturing,Laura Patton,Supplier Audit,Supplier Issue,Major,Closed,25.0
AUD-005371,2024-08-23,Houston Plant,Manufacturing,Francis Walker,Supplier Audit,Process Deviation,Minor,Open,
AUD-005372,2025-02-03,Houston Plant,Engineering,Renee Johnson,ISO 9001 Audit,Process Deviation,Minor,In Progress,
AUD-005373,2024-11-08,Suzhou Plant,Manufacturing,Scott Wood,Supplier Audit,Calibration,Major,In Progress,
AUD-005374,2025-07-28,Bangalore Plant,Engineering,Sherri Logan,Process Audit,Calibration,Minor,In Progress,
AUD-005375,2023-06-05,Frankfurt Plant,Supply Chain,Cathy Barnes,ISO 9001 Audit,Process Deviation,Minor,Closed,17.0
AUD-005376,2023-04-16,Monterrey Plant,Quality,Amy Sanders,Process Audit,Process Deviation,Major,In Progress,
AUD-005377,2023-12-25,Suzhou Plant,Maintenance,Lee Perez,Supplier Audit,Training,Minor,In Progress,
AUD-005378,2024-03-04,Pune Plant,HR,Michael Leonard,Process Audit,Documentation,Minor,Closed,10.0
AUD-005379,2024-04-03,Pune Plant,Warehouse,Cody Thompson,Safety Audit,Calibration,Minor,Closed,9.0
AUD-005380,2023-07-03,Monterrey Plant,Warehouse,Victor Yates,Supplier Audit,Training,Minor,Closed,11.0
AUD-005381,2025-04-29,Bangalore Plant,Warehouse,Stanley Benson,Internal Audit,Equipment Issue,Minor,Closed,9.0
AUD-005382,2024-02-18,Monterrey Plant,EHS,James Gallagher,Safety Audit,Calibration,Minor,Closed,7.0
AUD-005383,2025-05-04,Monterrey Plant,Quality,Jeanette Garcia,Internal Audit,Calibration,Minor,In Progress,
AUD-005384,2023-05-02,Houston Plant,Warehouse,Michael Garcia,Process Audit,Calibration,Minor,Closed,12.0
AUD-005385,2025-04-14,Juarez Plant,Quality,William Gordon,Process Audit,Process Deviation,Minor,Closed,10.0
AUD-005386,2023-10-22,Houston Plant,Supply Chain,Kim Holmes,Process Audit,Equipment Issue,Major,Open,
AUD-005387,2025-11-05,Shanghai Plant,Manufacturing,Anthony Hodges,ISO 9001 Audit,Documentation,Minor,In Progress,
AUD-005388,2025-02-26,Houston Plant,Manufacturing,Alexis Wells,Internal Audit,Supplier Issue,Critical,Closed,45.0
AUD-005389,2025-02-04,Frankfurt Plant,Maintenance,Jennifer Dawson,Process Audit,Process Deviation,Minor,Closed,6.0
AUD-005390,2025-05-30,Houston Plant,Manufacturing,Bethany Baxter MD,Internal Audit,Training,Major,Closed,36.0
AUD-005391,2025-08-23,Shanghai Plant,Manufacturing,Teresa Wallace,Internal Audit,Supplier Issue,Major,Closed,30.0
AUD-005392,2024-05-07,Suzhou Plant,HR,Alexis Pham,ISO 9001 Audit,Process Deviation,Minor,Open,
AUD-005393,2025-08-07,Juarez Plant,EHS,Zachary Ortiz,ISO 9001 Audit,Calibration,Minor,Closed,8.0
AUD-005394,2025-01-01,Pune Plant,Warehouse,Christopher Burnett,Process Audit,Calibration,Minor,Closed,13.0
AUD-005395,2025-10-29,Frankfurt Plant,Quality,Nicholas Calhoun,Process Audit,Calibration,Major,In Progress,
AUD-005396,2023-08-16,Houston Plant,Quality,Joseph Perez,Safety Audit,Calibration,Critical,Closed,37.0
AUD-005397,2025-01-30,Monterrey Plant,Engineering,Karen Perez,Process Audit,Equipment Issue,Minor,Closed,7.0
AUD-005398,2024-05-25,Houston Plant,Engineering,Kevin Cruz,Supplier Audit,Equipment Issue,Major,In Progress,
AUD-005399,2023-05-24,Bangalore Plant,Maintenance,Amber Spencer,Internal Audit,Process Deviation,Critical,Closed,33.0
AUD-005400,2023-02-16,Monterrey Plant,Supply Chain,Madison Richardson,ISO 9001 Audit,Documentation,Minor,Closed,3.0
AUD-005401,2025-02-28,Shanghai Plant,EHS,Jose Collins,Supplier Audit,Calibration,Minor,Closed,11.0
AUD-005402,2025-11-04,Suzhou Plant,EHS,Justin Potter,Supplier Audit,Supplier Issue,Minor,Closed,3.0
AUD-005403,2024-05-16,Juarez Plant,Maintenance,Sherry Cox,Process Audit,Documentation,Major,Closed,14.0
AUD-005404,2023-12-23,Juarez Plant,Maintenance,Tiffany Williams,Process Audit,Calibration,Minor,Closed,2.0
AUD-005405,2023-12-10,Bangalore Plant,Manufacturing,Jessica Torres,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-005406,2024-02-27,Bangalore Plant,EHS,Matthew Morgan,Safety Audit,Training,Minor,Closed,9.0
AUD-005407,2024-06-25,Frankfurt Plant,Quality,Craig Beard,Safety Audit,Calibration,Minor,In Progress,
AUD-005408,2023-06-19,Shanghai Plant,HR,Tony Moore,Safety Audit,Calibration,Major,Closed,23.0
AUD-005409,2024-10-04,Frankfurt Plant,HR,Jillian Carrillo,ISO 9001 Audit,Calibration,Major,Closed,22.0
AUD-005410,2024-10-20,Pune Plant,Supply Chain,Nancy Rowland,Supplier Audit,Documentation,Minor,Closed,6.0
AUD-005411,2025-01-28,Suzhou Plant,Supply Chain,Lisa Ochoa,ISO 9001 Audit,Supplier Issue,Minor,Closed,5.0
AUD-005412,2025-01-18,Shanghai Plant,Warehouse,Jeffrey Ayala,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-005413,2025-08-20,Pune Plant,EHS,Dana Carter,Internal Audit,Equipment Issue,Minor,Closed,11.0
AUD-005414,2024-09-08,Houston Plant,HR,Natalie Burns,ISO 9001 Audit,Process Deviation,Minor,Closed,8.0
AUD-005415,2023-10-21,Pune Plant,Warehouse,Sean Peters,Internal Audit,Equipment Issue,Critical,In Progress,
AUD-005416,2024-09-26,Pune Plant,Quality,Christopher Jones,ISO 9001 Audit,Training,Minor,Open,
AUD-005417,2024-07-06,Suzhou Plant,HR,Miguel Pena,Internal Audit,Training,Minor,Closed,11.0
AUD-005418,2024-09-02,Monterrey Plant,Manufacturing,Ryan Lawson,Internal Audit,Process Deviation,Major,Closed,17.0
AUD-005419,2024-07-03,Juarez Plant,Warehouse,David Williams,Supplier Audit,Calibration,Minor,In Progress,
AUD-005420,2024-01-02,Suzhou Plant,Engineering,Mark Johnson,ISO 9001 Audit,Equipment Issue,Major,In Progress,
AUD-005421,2025-10-25,Pune Plant,Warehouse,Rebecca Perez,ISO 9001 Audit,Process Deviation,Critical,Open,
AUD-005422,2025-12-03,Shanghai Plant,Quality,Kathryn Thomas,Supplier Audit,Calibration,Minor,In Progress,
AUD-005423,2025-05-01,Frankfurt Plant,HR,Crystal Abbott,Internal Audit,Supplier Issue,Minor,Closed,10.0
AUD-005424,2024-05-05,Frankfurt Plant,HR,Alexandra Hodge,ISO 9001 Audit,Equipment Issue,Critical,Closed,65.0
AUD-005425,2023-01-29,Shanghai Plant,Warehouse,Rachel Yang,ISO 9001 Audit,Documentation,Minor,Closed,12.0
AUD-005426,2023-05-27,Houston Plant,Engineering,Michelle Sanders,Process Audit,Training,Minor,Closed,8.0
AUD-005427,2024-06-18,Bangalore Plant,Warehouse,Dustin Stein,ISO 9001 Audit,Supplier Issue,Critical,Closed,49.0
AUD-005428,2025-04-07,Monterrey Plant,Quality,Haley Jackson,ISO 9001 Audit,Supplier Issue,Minor,Closed,9.0
AUD-005429,2025-07-12,Suzhou Plant,Maintenance,Thomas Moses,Safety Audit,Process Deviation,Minor,In Progress,
AUD-005430,2024-09-14,Suzhou Plant,EHS,Jeffrey Petersen,Process Audit,Documentation,Minor,In Progress,
AUD-005431,2025-05-20,Pune Plant,Engineering,Joseph Ward,Supplier Audit,Equipment Issue,Minor,Closed,10.0
AUD-005432,2024-02-24,Monterrey Plant,HR,Lance Robinson,Process Audit,Calibration,Minor,In Progress,
AUD-005433,2023-06-10,Shanghai Plant,HR,Kristen Smith,Process Audit,Process Deviation,Minor,Closed,8.0
AUD-005434,2024-07-30,Pune Plant,HR,Nicole Mcbride,Internal Audit,Process Deviation,Minor,In Progress,
AUD-005435,2025-03-10,Shanghai Plant,Engineering,Daisy Larson,Safety Audit,Supplier Issue,Critical,In Progress,
AUD-005436,2025-05-20,Pune Plant,Engineering,Jesus Shaw,Safety Audit,Calibration,Minor,Closed,9.0
AUD-005437,2024-12-09,Monterrey Plant,Engineering,Shelly Moss,Process Audit,Training,Major,Closed,26.0
AUD-005438,2023-01-25,Houston Plant,HR,Laura Coleman,Supplier Audit,Process Deviation,Minor,Closed,6.0
AUD-005439,2025-07-20,Monterrey Plant,Warehouse,Kayla Moore,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-005440,2024-09-25,Pune Plant,Quality,Melissa Brown,Internal Audit,Training,Minor,Closed,6.0
AUD-005441,2023-11-23,Monterrey Plant,EHS,Emily Riley MD,Supplier Audit,Supplier Issue,Minor,Closed,5.0
AUD-005442,2023-12-23,Suzhou Plant,EHS,Donald Cole,Process Audit,Equipment Issue,Minor,Closed,4.0
AUD-005443,2024-10-27,Bangalore Plant,Supply Chain,James Johnson,ISO 9001 Audit,Documentation,Major,Closed,14.0
AUD-005444,2023-08-26,Pune Plant,Supply Chain,Nicholas George,ISO 9001 Audit,Equipment Issue,Minor,Closed,10.0
AUD-005445,2024-11-05,Bangalore Plant,HR,Jane King,Process Audit,Equipment Issue,Critical,Closed,30.0
AUD-005446,2023-05-12,Shanghai Plant,Quality,Tanner Decker,ISO 9001 Audit,Process Deviation,Minor,Open,
AUD-005447,2023-03-03,Suzhou Plant,Engineering,Leslie Martin,Process Audit,Process Deviation,Major,Closed,29.0
AUD-005448,2024-09-14,Houston Plant,EHS,Keith Garcia,Process Audit,Process Deviation,Minor,Closed,10.0
AUD-005449,2024-10-30,Juarez Plant,Maintenance,Victoria Keller,Safety Audit,Documentation,Minor,Closed,3.0
AUD-005450,2023-12-21,Houston Plant,Maintenance,Mr. Robert Acevedo MD,ISO 9001 Audit,Calibration,Critical,Closed,55.0
AUD-005451,2024-03-23,Shanghai Plant,Warehouse,Ms. Kayla Williams,Process Audit,Training,Major,Closed,32.0
AUD-005452,2024-05-28,Bangalore Plant,Warehouse,Tammy Jackson,ISO 9001 Audit,Process Deviation,Minor,Closed,6.0
AUD-005453,2023-07-20,Houston Plant,Warehouse,Robert Smith,Internal Audit,Calibration,Minor,In Progress,
AUD-005454,2025-04-04,Shanghai Plant,EHS,Stephen Smith,Process Audit,Equipment Issue,Minor,Closed,11.0
AUD-005455,2025-03-26,Frankfurt Plant,Warehouse,Jasmin Hamilton,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-005456,2023-05-28,Houston Plant,Warehouse,Thomas Romero,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-005457,2023-12-13,Shanghai Plant,Manufacturing,Megan Grant,Supplier Audit,Supplier Issue,Critical,Closed,31.0
AUD-005458,2025-08-14,Shanghai Plant,EHS,Karen Hughes,Process Audit,Process Deviation,Minor,Closed,10.0
AUD-005459,2023-06-23,Bangalore Plant,HR,Bradley Phillips,Process Audit,Supplier Issue,Major,Closed,13.0
AUD-005460,2023-12-08,Suzhou Plant,Supply Chain,Robert Roberts,Internal Audit,Supplier Issue,Major,In Progress,
AUD-005461,2024-11-02,Pune Plant,Maintenance,Cynthia Tran,Process Audit,Supplier Issue,Major,Closed,9.0
AUD-005462,2024-09-16,Frankfurt Plant,Maintenance,Marie Davidson,Supplier Audit,Process Deviation,Minor,Closed,8.0
AUD-005463,2025-09-10,Houston Plant,HR,Jordan Williams,Safety Audit,Supplier Issue,Major,Closed,23.0
AUD-005464,2025-06-13,Pune Plant,Warehouse,Mr. Paul Chase,Safety Audit,Documentation,Major,Closed,21.0
AUD-005465,2025-01-22,Houston Plant,Warehouse,Chloe Parker,Process Audit,Training,Major,In Progress,
AUD-005466,2025-01-16,Shanghai Plant,Engineering,Leah Collier,Safety Audit,Calibration,Minor,Closed,5.0
AUD-005467,2023-06-28,Suzhou Plant,Supply Chain,Amanda Gonzalez,Internal Audit,Supplier Issue,Major,Closed,21.0
AUD-005468,2024-11-01,Juarez Plant,Engineering,Alice Conley,Safety Audit,Documentation,Minor,In Progress,
AUD-005469,2025-06-16,Houston Plant,Supply Chain,Clarence Wood,Process Audit,Supplier Issue,Minor,Closed,10.0
AUD-005470,2023-07-25,Suzhou Plant,Quality,Terri Cisneros,ISO 9001 Audit,Process Deviation,Minor,In Progress,
AUD-005471,2025-05-27,Houston Plant,Engineering,Jessica Jones,ISO 9001 Audit,Training,Minor,Open,
AUD-005472,2024-08-27,Suzhou Plant,Maintenance,Michael Graham,Supplier Audit,Process Deviation,Minor,Open,
AUD-005473,2025-09-16,Pune Plant,Manufacturing,Mary Henderson,Supplier Audit,Process Deviation,Minor,Closed,9.0
AUD-005474,2024-10-29,Houston Plant,EHS,Adam Holland,Safety Audit,Process Deviation,Major,In Progress,
AUD-005475,2025-09-28,Juarez Plant,EHS,Elizabeth Miller,Process Audit,Supplier Issue,Minor,Closed,10.0
AUD-005476,2024-05-14,Pune Plant,Quality,Ryan Kaiser,Safety Audit,Equipment Issue,Minor,In Progress,
AUD-005477,2024-11-30,Juarez Plant,Maintenance,Douglas Morton,Process Audit,Equipment Issue,Critical,In Progress,
AUD-005478,2023-04-13,Shanghai Plant,Warehouse,Ashlee Mendez,Internal Audit,Training,Minor,Closed,7.0
AUD-005479,2024-11-07,Monterrey Plant,Engineering,Leslie Barton,ISO 9001 Audit,Process Deviation,Critical,Closed,63.0
AUD-005480,2023-09-19,Pune Plant,Warehouse,Joseph Smith,Internal Audit,Supplier Issue,Minor,Closed,5.0
AUD-005481,2024-11-02,Frankfurt Plant,Manufacturing,Paige Jordan,ISO 9001 Audit,Documentation,Minor,In Progress,
AUD-005482,2024-10-08,Pune Plant,EHS,Elizabeth Taylor,Internal Audit,Supplier Issue,Major,Closed,29.0
AUD-005483,2023-04-24,Bangalore Plant,Manufacturing,Latoya Howell,Supplier Audit,Process Deviation,Minor,Closed,14.0
AUD-005484,2025-06-22,Frankfurt Plant,Engineering,Lawrence Glover,Process Audit,Process Deviation,Major,In Progress,
AUD-005485,2024-04-20,Houston Plant,Manufacturing,Kimberly Grant,Internal Audit,Supplier Issue,Minor,Closed,11.0
AUD-005486,2025-12-23,Shanghai Plant,Warehouse,Madison Wilson,Safety Audit,Training,Critical,Closed,41.0
AUD-005487,2023-10-21,Frankfurt Plant,Quality,Melanie Davidson,Process Audit,Equipment Issue,Minor,Closed,8.0
AUD-005488,2024-06-02,Shanghai Plant,Supply Chain,Angel Johnson,Safety Audit,Equipment Issue,Minor,Closed,13.0
AUD-005489,2023-03-27,Pune Plant,Engineering,Jessica Cox,Safety Audit,Calibration,Major,Closed,12.0
AUD-005490,2023-12-07,Juarez Plant,Maintenance,Laura Mosley,Safety Audit,Supplier Issue,Minor,Closed,6.0
AUD-005491,2023-03-16,Juarez Plant,Engineering,Kurt Martinez,ISO 9001 Audit,Process Deviation,Major,Closed,21.0
AUD-005492,2025-03-08,Monterrey Plant,HR,Brandi Ibarra,Safety Audit,Supplier Issue,Minor,Closed,14.0
AUD-005493,2024-10-17,Frankfurt Plant,Quality,Heather Sweeney,Internal Audit,Equipment Issue,Major,In Progress,
AUD-005494,2024-03-11,Frankfurt Plant,EHS,Laura Guerra,Supplier Audit,Equipment Issue,Minor,Closed,11.0
AUD-005495,2024-02-03,Suzhou Plant,Manufacturing,Adrian Levine,Process Audit,Training,Minor,Closed,6.0
AUD-005496,2024-02-23,Suzhou Plant,EHS,Abigail Acevedo,Process Audit,Supplier Issue,Major,Closed,22.0
AUD-005497,2023-12-08,Frankfurt Plant,Manufacturing,Isabella Taylor,Safety Audit,Documentation,Minor,Closed,7.0
AUD-005498,2024-10-29,Shanghai Plant,Quality,Joel Rogers,Internal Audit,Process Deviation,Minor,In Progress,
AUD-005499,2025-11-09,Juarez Plant,HR,Tyler Murray,ISO 9001 Audit,Process Deviation,Minor,Closed,7.0
AUD-005500,2025-10-07,Monterrey Plant,Quality,Michael Lambert,Internal Audit,Training,Minor,Open,
AUD-005501,2023-05-01,Juarez Plant,Supply Chain,Edward Guzman,Supplier Audit,Process Deviation,Minor,Open,
AUD-005502,2024-07-06,Monterrey Plant,Manufacturing,Anne Chambers,Process Audit,Equipment Issue,Minor,Closed,13.0
AUD-005503,2023-01-27,Juarez Plant,Engineering,Kristen Ramirez,Safety Audit,Process Deviation,Minor,Closed,5.0
AUD-005504,2023-08-15,Monterrey Plant,Supply Chain,Leslie Case,ISO 9001 Audit,Calibration,Minor,Closed,15.0
AUD-005505,2024-11-30,Frankfurt Plant,EHS,Christopher Thomas,Safety Audit,Process Deviation,Minor,Open,
AUD-005506,2025-09-03,Frankfurt Plant,Maintenance,Felicia Matthews,Supplier Audit,Training,Major,Closed,32.0
AUD-005507,2025-07-15,Frankfurt Plant,Warehouse,Robert Keith,Supplier Audit,Equipment Issue,Major,Closed,34.0
AUD-005508,2025-11-27,Suzhou Plant,Supply Chain,Deborah Simon,Safety Audit,Supplier Issue,Critical,Closed,37.0
AUD-005509,2023-04-10,Shanghai Plant,Quality,Carlos Morrow,Internal Audit,Documentation,Major,Closed,23.0
AUD-005510,2024-10-06,Houston Plant,HR,Edward Tucker,Safety Audit,Calibration,Minor,Closed,4.0
AUD-005511,2023-06-02,Suzhou Plant,Warehouse,Emma Chan,ISO 9001 Audit,Documentation,Minor,Closed,8.0
AUD-005512,2025-01-24,Pune Plant,Manufacturing,Ryan Thomas,Safety Audit,Supplier Issue,Major,In Progress,
AUD-005513,2024-02-19,Houston Plant,Engineering,Holly Rivas,Supplier Audit,Process Deviation,Critical,In Progress,
AUD-005514,2024-10-24,Suzhou Plant,Manufacturing,Alicia Navarro,Internal Audit,Training,Minor,Closed,11.0
AUD-005515,2024-09-04,Houston Plant,Warehouse,James Schaefer,Safety Audit,Supplier Issue,Minor,Closed,14.0
AUD-005516,2023-11-05,Bangalore Plant,Engineering,Jennifer Sampson,Process Audit,Calibration,Minor,Open,
AUD-005517,2024-10-19,Bangalore Plant,EHS,Daniel Taylor,ISO 9001 Audit,Supplier Issue,Minor,Closed,6.0
AUD-005518,2023-10-01,Houston Plant,HR,Julie Thompson,Process Audit,Calibration,Minor,Closed,8.0
AUD-005519,2023-10-25,Suzhou Plant,EHS,Justin Murphy,Process Audit,Equipment Issue,Minor,Closed,9.0
AUD-005520,2025-11-13,Frankfurt Plant,HR,Rachel Smith,ISO 9001 Audit,Process Deviation,Minor,Closed,5.0
AUD-005521,2024-01-04,Bangalore Plant,Engineering,Joseph Dougherty,Supplier Audit,Process Deviation,Major,Closed,30.0
AUD-005522,2025-06-28,Houston Plant,Supply Chain,Catherine Barker,Internal Audit,Supplier Issue,Minor,Closed,7.0
AUD-005523,2023-11-14,Shanghai Plant,Supply Chain,Cynthia Taylor,Process Audit,Equipment Issue,Major,Open,
AUD-005524,2024-04-01,Suzhou Plant,Supply Chain,James Peck,Process Audit,Calibration,Minor,Closed,9.0
AUD-005525,2024-05-07,Bangalore Plant,Maintenance,Rebecca Brooks,Supplier Audit,Calibration,Major,Closed,21.0
AUD-005526,2025-01-23,Monterrey Plant,Maintenance,Mr. Gregory Hart,Supplier Audit,Supplier Issue,Minor,Closed,7.0
AUD-005527,2025-12-21,Pune Plant,Engineering,Tiffany Davis,Process Audit,Calibration,Minor,In Progress,
AUD-005528,2025-04-03,Monterrey Plant,Engineering,Vanessa Bishop,Safety Audit,Training,Minor,Open,
AUD-005529,2025-06-01,Pune Plant,EHS,Stacey Rodriguez,Supplier Audit,Process Deviation,Minor,Closed,9.0
AUD-005530,2025-02-17,Suzhou Plant,Warehouse,Angelica Lopez,Process Audit,Documentation,Minor,Closed,9.0
AUD-005531,2024-02-03,Pune Plant,Supply Chain,Spencer Manning,Safety Audit,Process Deviation,Major,In Progress,
AUD-005532,2023-12-20,Frankfurt Plant,HR,Robert Bauer,Process Audit,Calibration,Critical,Closed,39.0
AUD-005533,2025-06-16,Monterrey Plant,HR,Keith Gonzalez,Process Audit,Documentation,Minor,Closed,7.0
AUD-005534,2023-12-15,Frankfurt Plant,Warehouse,Benjamin Jordan,ISO 9001 Audit,Process Deviation,Minor,Closed,11.0
AUD-005535,2024-03-13,Houston Plant,HR,Adrian Krueger,Internal Audit,Supplier Issue,Minor,Closed,15.0
AUD-005536,2024-08-24,Suzhou Plant,HR,Michael Travis,Process Audit,Supplier Issue,Minor,Closed,10.0
AUD-005537,2023-01-30,Suzhou Plant,Engineering,Jonathan Glover,Supplier Audit,Supplier Issue,Critical,In Progress,
AUD-005538,2023-04-11,Frankfurt Plant,Maintenance,Erin Carter,Safety Audit,Documentation,Major,Closed,33.0
AUD-005539,2023-07-04,Houston Plant,HR,Brenda Bradley,Internal Audit,Training,Major,Closed,12.0
AUD-005540,2023-07-14,Suzhou Plant,Manufacturing,Kevin Berry,ISO 9001 Audit,Training,Major,Closed,26.0
AUD-005541,2025-02-07,Monterrey Plant,HR,Jennifer Anderson,Safety Audit,Calibration,Minor,In Progress,
AUD-005542,2025-01-13,Pune Plant,Warehouse,Tyler Miranda,Safety Audit,Equipment Issue,Minor,Closed,6.0
AUD-005543,2024-11-09,Suzhou Plant,EHS,Nicholas Chung,Process Audit,Training,Major,Open,
AUD-005544,2024-12-21,Pune Plant,Quality,Kayla Thomas,Safety Audit,Calibration,Major,Closed,12.0
AUD-005545,2025-12-15,Suzhou Plant,HR,Robert Shepherd,Internal Audit,Equipment Issue,Minor,Closed,7.0
AUD-005546,2023-05-04,Frankfurt Plant,Supply Chain,Steven Swanson,ISO 9001 Audit,Supplier Issue,Major,In Progress,
AUD-005547,2023-02-06,Bangalore Plant,Quality,David Williams,Process Audit,Supplier Issue,Minor,Closed,14.0
AUD-005548,2023-08-05,Frankfurt Plant,HR,Justin Bishop,Supplier Audit,Documentation,Major,Closed,33.0
AUD-005549,2023-02-18,Frankfurt Plant,HR,Clifford Mcdonald,Supplier Audit,Process Deviation,Minor,Closed,10.0
AUD-005550,2024-03-28,Pune Plant,Supply Chain,Wesley Bowers,Process Audit,Equipment Issue,Critical,Closed,20.0
AUD-005551,2024-07-14,Houston Plant,Supply Chain,Jessica Warren,Supplier Audit,Calibration,Major,In Progress,
AUD-005552,2024-06-04,Pune Plant,Manufacturing,Dana Savage,ISO 9001 Audit,Training,Minor,In Progress,
AUD-005553,2025-11-22,Pune Plant,Warehouse,Joseph Sullivan,Supplier Audit,Equipment Issue,Minor,Closed,9.0
AUD-005554,2023-03-04,Bangalore Plant,HR,Joshua Williams,Process Audit,Training,Minor,Closed,11.0
AUD-005555,2024-02-12,Juarez Plant,Quality,Cory Kelley,Safety Audit,Calibration,Minor,Closed,10.0
AUD-005556,2024-12-31,Monterrey Plant,Maintenance,Whitney Macdonald DVM,Supplier Audit,Supplier Issue,Major,Closed,8.0
AUD-005557,2023-12-31,Shanghai Plant,Supply Chain,Kimberly Ponce,Supplier Audit,Equipment Issue,Minor,In Progress,
AUD-005558,2024-01-06,Bangalore Plant,Manufacturing,Darren Morse,Process Audit,Documentation,Minor,In Progress,
AUD-005559,2025-06-21,Monterrey Plant,HR,Lydia Horn,ISO 9001 Audit,Supplier Issue,Minor,Closed,6.0
AUD-005560,2025-05-30,Bangalore Plant,Supply Chain,Chad Williams,Internal Audit,Process Deviation,Minor,Closed,9.0
AUD-005561,2024-04-11,Shanghai Plant,Supply Chain,Jeremy Wallace,Process Audit,Supplier Issue,Minor,Open,
AUD-005562,2024-08-27,Monterrey Plant,Engineering,Anthony Ward,Supplier Audit,Documentation,Minor,In Progress,
AUD-005563,2023-12-11,Monterrey Plant,EHS,Heather Diaz,Process Audit,Supplier Issue,Minor,Closed,11.0
AUD-005564,2024-04-16,Houston Plant,Maintenance,Daniel White,ISO 9001 Audit,Equipment Issue,Minor,In Progress,
AUD-005565,2025-03-15,Frankfurt Plant,Warehouse,Linda Fernandez,Process Audit,Equipment Issue,Minor,Closed,2.0
AUD-005566,2024-12-30,Suzhou Plant,Manufacturing,Ralph Rodriguez,Supplier Audit,Documentation,Minor,Open,
AUD-005567,2024-08-11,Pune Plant,HR,Michael Cross DDS,Safety Audit,Calibration,Major,In Progress,
AUD-005568,2023-02-11,Frankfurt Plant,Warehouse,Stacy Garcia,Safety Audit,Process Deviation,Critical,In Progress,
AUD-005569,2023-08-05,Shanghai Plant,Warehouse,Brett Maxwell,Safety Audit,Training,Minor,In Progress,
AUD-005570,2024-03-08,Pune Plant,EHS,Anna Andersen,ISO 9001 Audit,Calibration,Minor,Closed,9.0
AUD-005571,2024-08-14,Shanghai Plant,Maintenance,Gary Phillips,Internal Audit,Process Deviation,Minor,Closed,10.0
AUD-005572,2023-09-13,Pune Plant,EHS,Melanie Brown,Internal Audit,Training,Critical,In Progress,
AUD-005573,2024-06-08,Frankfurt Plant,Warehouse,Carol Johnson,Safety Audit,Process Deviation,Minor,Closed,12.0
AUD-005574,2024-11-05,Frankfurt Plant,EHS,Jacqueline Hall,Safety Audit,Process Deviation,Major,Closed,31.0
AUD-005575,2025-04-09,Houston Plant,HR,Tara Hale,ISO 9001 Audit,Process Deviation,Critical,Closed,54.0
AUD-005576,2023-04-29,Frankfurt Plant,Maintenance,Christopher Smith,Internal Audit,Training,Major,In Progress,
AUD-005577,2023-01-14,Houston Plant,Quality,Chad Kim,Safety Audit,Equipment Issue,Minor,Closed,7.0
AUD-005578,2023-11-12,Frankfurt Plant,Warehouse,Riley Knight,Internal Audit,Calibration,Major,Closed,8.0
AUD-005579,2024-03-18,Pune Plant,Engineering,Amy Moore,Process Audit,Process Deviation,Major,Closed,21.0
AUD-005580,2024-11-03,Suzhou Plant,EHS,Robert Ellison,ISO 9001 Audit,Supplier Issue,Critical,Closed,60.0
AUD-005581,2024-08-16,Suzhou Plant,Manufacturing,Brian Lewis,Process Audit,Process Deviation,Minor,In Progress,
